"Reference","Qty","Value","Footprint","Datasheet","Manufacturer_Part_Number","Mouser Part Number","Description","#"
"C4,C5,C6,C9","4","47u","Capacitor_SMD:C_0805_2012Metric","","","","Unpolarized capacitor","1"
"C7,C8,C10,C11","4","470u","Capacitor_SMD:CP_Elec_6.3x7.7","","","","Unpolarized capacitor","2"
"Ccomp1","1","270p","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","3"
"Ccomp2","1","2200p","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","4"
"Cdifo1","1","1200p","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","5"
"CL1","1","1000p","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","6"
"Crsn1","1","330p","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","7"
"C_avin1","1","6.8n","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","8"
"C_boot1,C_decp1,C_decp2,C_decp3,C_decp4","5","C","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","9"
"C_bp3","1","2.2u","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","10"
"C_bp6","1",".1u","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","11"
"C_bp6-2","1","4.7u","Capacitor_SMD:C_0402_1005Metric","","","","Unpolarized capacitor","12"
"IC1","1","TPS546C23RVFT","Custom:QFN50P500X700X152-41N-D","http://www.ti.com/lit/gpn/tps546c23","TPS546C23RVFT","595-TPS546C23RVFT","4.5V to 18V, 35A, 2X Stackable Synchronous Buck Converter with PMBus supporting Telemetry","13"
"J1,J2,J3,J4","4","Conn_01x01","Custom:CalTest_CT3151","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","14"
"J7","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","Generic connector, single row, 01x02, script generated","15"
"L1","1","300n","Inductor_SMD:L_Sunlord_MWSA1204S-1R0","","","","Inductor","16"
"Rcomp1","1","5.6k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","17"
"Rdifo1","1","1.1k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","18"
"Rdifo2,R_bp3","2","10k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","19"
"Rdifo3,Rsn1,Rsp1","3","49.9","Resistor_SMD:R_0402_1005Metric","","","","Resistor","20"
"RL1","1","1","Resistor_SMD:R_0402_1005Metric","","","","Resistor","21"
"r_ad1","1","34.8k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","22"
"r_ad2","1","78.7k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","23"
"R_rt1","1","68.1k","Resistor_SMD:R_0402_1005Metric","","","","Resistor","24"
